ins_name,ins_path,solver,simdays,noLinacs,arrivalrate,noSlotsPerDay,planningHorizon,lNoPatients,lNoNewPatients,lNoSections,runtime,mipgap,feasibility,objval,avg_occupancy,std_occupancy,avgwait,avglate,avgwaitP1,avglateP1,avgwaitP2,avglateP2,avgwaitP3,avglateP3,avgwaitP4,avglateP4
0,,daily,30,8,10.0,120,80,"[582, 2, 138, 263, 179]","[315, 2, 117, 110, 86]","[4242, 3, 335, 2194, 1710]",21.29669976234436,1.0,True,20492.312327207674,-1.0,-1.0,18.73015873015873,6.301587301587301,12.0,12.0,9.393162393162394,6.914529914529915,23.6,10.354545454545455,25.36046511627907,0.1511627906976744
0,,daily_greedy,150,8,10.0,120,80,"[582, 2, 138, 263, 179]","[315, 2, 117, 110, 86]","[4242, 3, 335, 2194, 1710]",2.2762558460235596,1.0,True,2559.0595887316813,98.02777777777779,1.4001109138163508,19.51746031746032,7.498412698412698,14.5,14.5,13.222222222222221,10.794871794871796,22.745454545454546,9.727272727272727,24.069767441860463,0.0
0,,greedy,30,8,10.0,120,80,"[582, 2, 138, 263, 179]","[315, 2, 117, 110, 86]","[4242, 3, 335, 2194, 1710]",2.604844331741333,1.0,True,20478.294589906214,-1.0,-1.0,18.75873015873016,6.352380952380952,11.5,11.5,8.401709401709402,6.111111111111111,24.636363636363637,11.309090909090909,25.5,0.22093023255813954
0,,prediction,30,8,10.0,120,80,"[582, 2, 138, 263, 179]","[315, 2, 117, 110, 86]","[4242, 3, 335, 2194, 1710]",2.797107696533203,30.0,True,20495.59068863953,-1.0,-1.0,19.33968253968254,7.104761904761904,9.5,9.5,12.418803418803419,10.11111111111111,22.754545454545454,9.409090909090908,24.61627906976744,0.011627906976744186
0,,weekly,30,8,10.0,120,80,"[582, 2, 138, 263, 179]","[315, 2, 117, 110, 86]","[4242, 3, 335, 2194, 1710]",28.36490750312805,1.0,True,20499.37555519416,-1.0,-1.0,18.87936507936508,6.095238095238095,12.5,12.5,9.52991452991453,7.068376068376068,22.381818181818183,9.172727272727272,27.267441860465116,0.686046511627907
1,,static,30,8,10.0,120,80,"[517, 1, 123, 236, 157]","[294, 1, 108, 107, 78]","[4094, 2, 329, 2243, 1520]",126.38730454444885,0.005654810482989059,True,20241.73323215379,-1.0,-1.0,9.346938775510203,0.02040816326530612,0.0,0.0,1.2685185185185186,0.0,12.05607476635514,0.056074766355140186,16.935897435897434,0.0
2,,static,30,8,10.0,120,80,"[534, 1, 136, 237, 160]","[330, 1, 125, 124, 80]","[4456, 2, 373, 2548, 1533]",67.92557954788208,0.006007913200466846,True,20240.65032258065,-1.0,-1.0,8.818181818181818,0.024242424242424242,0.0,0.0,1.296,0.0,12.225806451612904,0.06451612903225806,15.4,0.0
3,,static,30,8,10.0,120,80,"[540, 2, 130, 245, 163]","[306, 2, 113, 112, 79]","[4251, 3, 335, 2362, 1551]",217.6996021270752,0.018036265418323823,True,20247.30293431644,-1.0,-1.0,10.483660130718954,0.11437908496732026,0.0,0.0,1.3628318584070795,0.0,12.678571428571429,0.3125,20.68354430379747,0.0
4,,static,30,8,10.0,120,80,"[492, 1, 122, 218, 151]","[297, 1, 108, 112, 76]","[4088, 2, 322, 2279, 1485]",3852.870950460434,0.019186130103139357,True,20233.620161514897,-1.0,-1.0,6.602693602693603,0.0,0.0,0.0,1.4259259259259258,0.0,9.321428571428571,0.0,10.039473684210526,0.0
5,,daily,30,8,10.0,120,80,"[522, 1, 129, 237, 155]","[311, 1, 115, 112, 83]","[4321, 2, 350, 2368, 1601]",21.47115921974182,1.0,True,20313.708508568438,-1.0,-1.0,11.221864951768488,1.405144694533762,3.0,3.0,4.6521739130434785,2.252173913043478,14.866071428571429,1.5625,15.506024096385541,0.0
5,,daily_greedy,150,8,10.0,120,80,"[522, 1, 129, 237, 155]","[311, 1, 115, 112, 83]","[4321, 2, 350, 2368, 1601]",1.8941185474395752,1.0,True,2366.20648619322,97.47569444444444,2.391857107045631,11.196141479099678,1.562700964630225,7.0,7.0,5.582608695652174,3.1478260869565218,14.151785714285714,1.0446428571428572,15.036144578313253,0.0
5,,greedy,30,8,10.0,120,80,"[522, 1, 129, 237, 155]","[311, 1, 115, 112, 83]","[4321, 2, 350, 2368, 1601]",2.2257895469665527,1.0,True,20273.031309399084,-1.0,-1.0,10.913183279742766,1.0321543408360128,1.0,1.0,2.756521739130435,0.7478260869565218,15.544642857142858,2.0892857142857144,16.08433734939759,0.0
5,,prediction,30,8,10.0,120,80,"[522, 1, 129, 237, 155]","[311, 1, 115, 112, 83]","[4321, 2, 350, 2368, 1601]",2.2371206283569336,30.0,True,20265.80695857966,-1.0,-1.0,10.209003215434084,0.3279742765273312,1.0,1.0,2.356521739130435,0.3565217391304348,13.241071428571429,0.5357142857142857,17.10843373493976,0.0
5,,static,30,8,10.0,120,80,"[522, 1, 129, 237, 155]","[311, 1, 115, 112, 83]","[4321, 2, 350, 2368, 1601]",214.42793345451355,0.01744372469334624,True,20242.676967185507,-1.0,-1.0,9.154340836012862,0.003215434083601286,0.0,0.0,1.4521739130434783,0.0,11.857142857142858,0.008928571428571428,16.289156626506024,0.0
5,,weekly,30,8,10.0,120,80,"[522, 1, 129, 237, 155]","[311, 1, 115, 112, 83]","[4321, 2, 350, 2368, 1601]",29.773168563842773,1.0,True,20305.94666990945,-1.0,-1.0,10.980707395498392,0.887459807073955,3.0,3.0,3.982608695652174,1.6347826086956523,13.919642857142858,0.7589285714285714,16.80722891566265,0.0
6,,static,30,8,10.0,120,80,"[524, 1, 125, 239, 159]","[307, 1, 113, 113, 80]","[4290, 2, 343, 2387, 1558]",67.41290402412415,0.018984877612297744,True,20244.37975663717,-1.0,-1.0,9.52442996742671,0.003257328990228013,0.0,0.0,1.4867256637168142,0.0,11.991150442477876,0.008849557522123894,17.5125,0.0
7,,static,30,8,10.0,120,80,"[509, 1, 125, 231, 152]","[295, 1, 108, 110, 76]","[4082, 2, 326, 2301, 1453]",3468.0880234241486,0.01917110033980178,True,20238.1176058834,-1.0,-1.0,8.027118644067796,0.0,0.0,0.0,1.3981481481481481,0.0,11.254545454545454,0.0,12.881578947368421,0.0
