ins_name,ins_path,solver,simdays,noLinacs,arrivalrate,noSlotsPerDay,planningHorizon,lNoPatients,lNoNewPatients,lNoSections,runtime,mipgap,feasibility,objval,avg_occupancy,std_occupancy,avgwait,avglate,avgwaitP1,avglateP1,avgwaitP2,avglateP2,avgwaitP3,avglateP3,avgwaitP4,avglateP4
0,,daily,30,8,12.0,120,80,"[680, 2, 150, 313, 215]","[366, 2, 137, 128, 99]","[4988, 3, 373, 2500, 2112]",25.59935688972473,1.0,True,20577.848093157856,-1.0,-1.0,30.275956284153004,17.382513661202186,5.0,5.0,19.78102189781022,17.116788321167885,35.71875,22.34375,38.27272727272727,11.585858585858587
0,,daily_greedy,150,8,12.0,120,80,"[680, 2, 150, 313, 215]","[366, 2, 137, 128, 99]","[4988, 3, 373, 2500, 2112]",3.1296262741088867,1.0,True,2741.8997220148567,97.36805555555557,2.582119637233655,32.07103825136612,19.215846994535518,13.5,13.5,26.64963503649635,23.94890510948905,34.0,20.9140625,37.45454545454545,10.585858585858587
0,,greedy,30,8,12.0,120,80,"[680, 2, 150, 313, 215]","[366, 2, 137, 128, 99]","[4988, 3, 373, 2500, 2112]",3.6399450302124023,1.0,True,20615.446739290714,-1.0,-1.0,30.09016393442623,17.112021857923498,9.5,9.5,18.59124087591241,15.927007299270073,36.1484375,22.7265625,38.58585858585859,11.646464646464647
0,,prediction,30,8,12.0,120,80,"[680, 2, 150, 313, 215]","[366, 2, 137, 128, 99]","[4988, 3, 373, 2500, 2112]",3.7993125915527344,30.0,True,20347.877487235495,-1.0,-1.0,23.396174863387976,10.344262295081966,0.0,0.0,4.489051094890511,2.072992700729927,32.1015625,18.2265625,38.77777777777778,11.808080808080808
0,,static,30,8,12.0,120,80,"[680, 2, 150, 313, 215]","[366, 2, 137, 128, 99]","[4988, 3, 373, 2500, 2112]",52869.578308820724,0.01468982910521789,True,20305.225860336952,-1.0,-1.0,20.669398907103826,8.10655737704918,0.0,0.0,1.3795620437956204,0.0,29.1328125,15.3984375,36.83838383838384,10.06060606060606
0,,weekly,30,8,12.0,120,80,"[680, 2, 150, 313, 215]","[366, 2, 137, 128, 99]","[4988, 3, 373, 2500, 2112]",34.896743059158325,1.0,True,20617.10389593932,-1.0,-1.0,29.887978142076502,16.868852459016395,8.5,8.5,20.138686131386862,17.474452554744527,33.515625,20.15625,39.121212121212125,11.94949494949495
2,,static,30,8,12.0,120,80,"[669, 2, 144, 312, 211]","[344, 2, 126, 123, 93]","[4765, 3, 344, 2453, 1965]",39745.45663833618,0.014920566329762222,True,20296.53730970489,-1.0,-1.0,19.53488372093023,6.883720930232558,0.0,0.0,1.3174603174603174,0.0,26.32520325203252,12.65040650406504,35.655913978494624,8.731182795698924
3,,static,30,8,12.0,120,80,"[621, 2, 137, 283, 199]","[341, 2, 122, 116, 101]","[4836, 3, 364, 2358, 2111]",54025.49995303154,0.04243935160096056,True,20274.30641717366,-1.0,-1.0,16.13782991202346,3.0234604105571847,0.0,0.0,1.5245901639344261,0.0,19.46551724137931,6.060344827586207,30.287128712871286,3.2475247524752477
4,,static,30,8,12.0,120,80,"[657, 2, 143, 299, 213]","[353, 2, 131, 124, 96]","[4847, 3, 366, 2472, 2006]",15056.225743055344,0.014998946697592714,True,20288.921904498075,-1.0,-1.0,18.090651558073656,5.424929178470255,0.0,0.0,1.5038167938931297,0.0,24.862903225806452,11.25,32.354166666666664,5.416666666666667
5,,daily,30,8,12.0,120,80,"[699, 3, 159, 319, 218]","[388, 3, 142, 139, 104]","[5332, 8, 393, 2685, 2246]",26.44573426246643,1.0,True,20717.045619084365,-1.0,-1.0,30.711340206185568,17.762886597938145,16.666666666666668,16.666666666666668,20.830985915492956,18.197183098591548,35.48201438848921,22.136690647482013,38.23076923076923,11.35576923076923
