ins_name,ins_path,solver,simdays,noLinacs,arrivalrate,noSlotsPerDay,planningHorizon,lNoPatients,lNoNewPatients,lNoSections,runtime,mipgap,feasibility,objval,avg_occupancy,std_occupancy,avgwait,avglate,avgwaitP1,avglateP1,avgwaitP2,avglateP2,avgwaitP3,avglateP3,avgwaitP4,avglateP4
0,,daily,30,4,5.0,120,80,"[236, 0, 44, 131, 61]","[137, 0, 41, 56, 40]","[2000, 0, 104, 1067, 829]",4.840085506439209,1.0,True,20250.43719512195,-1.0,-1.0,12.313868613138686,1.7080291970802919,0.0,0.0,1.2439024390243902,0.07317073170731707,17.75,4.125,16.05,0.0
0,,daily_greedy,150,4,5.0,120,80,"[236, 0, 44, 131, 61]","[137, 0, 41, 56, 40]","[2000, 0, 104, 1067, 829]",0.4002091884613037,1.0,True,2263.2646341463415,95.10416666666667,3.931101503113059,12.467153284671532,1.6788321167883211,,,2.5609756097560976,0.8048780487804879,16.857142857142858,3.517857142857143,16.475,0.0
0,,greedy,30,4,5.0,120,80,"[236, 0, 44, 131, 61]","[137, 0, 41, 56, 40]","[2000, 0, 104, 1067, 829]",0.36011815071105957,1.0,True,20251.689285714285,-1.0,-1.0,13.138686131386862,2.1751824817518246,0.0,0.0,1.0,0.0,19.017857142857142,5.321428571428571,17.35,0.0
0,,prediction,30,4,5.0,120,80,"[236, 0, 44, 131, 61]","[137, 0, 41, 56, 40]","[2000, 0, 104, 1067, 829]",0.5490801334381104,30.0,True,20247.44616724739,-1.0,-1.0,11.620437956204379,0.5401459854014599,0.0,0.0,1.3414634146341464,0.024390243902439025,14.303571428571429,1.3035714285714286,18.4,0.0
0,,static,30,4,5.0,120,80,"[236, 0, 44, 131, 61]","[137, 0, 41, 56, 40]","[2000, 0, 104, 1067, 829]",364.76511549949646,0.014887043518158229,True,20236.391811846686,-1.0,-1.0,9.372262773722628,0.0,0.0,0.0,0.975609756097561,0.0,11.160714285714286,0.0,15.475,0.0
0,,weekly,30,4,5.0,120,80,"[236, 0, 44, 131, 61]","[137, 0, 41, 56, 40]","[2000, 0, 104, 1067, 829]",6.1949684619903564,1.0,True,20248.453135888503,-1.0,-1.0,11.722627737226277,0.8832116788321168,0.0,0.0,1.3658536585365855,0.07317073170731707,15.339285714285714,2.107142857142857,17.275,0.0
1,,daily_greedy,150,4,5.0,120,80,"[269, 1, 63, 139, 66]","[163, 1, 58, 68, 36]","[2217, 1, 150, 1352, 714]",0.517509937286377,1.0,True,2385.6994590939826,96.2361111111111,3.125432068896067,16.7239263803681,5.668711656441718,4.0,4.0,8.482758620689655,5.862068965517241,21.897058823529413,8.529411764705882,20.583333333333332,0.0
1,,static,30,4,5.0,120,80,"[269, 1, 63, 139, 66]","[163, 1, 58, 68, 36]","[2217, 1, 150, 1352, 714]",1913.759485244751,0.014999987228614725,True,20262.910975884606,-1.0,-1.0,13.159509202453988,1.3680981595092025,0.0,0.0,1.5172413793103448,0.0,15.264705882352942,2.2794117647058822,28.305555555555557,1.8888888888888888
3,,static,30,4,5.0,120,80,"[245, 1, 49, 132, 63]","[156, 1, 48, 65, 42]","[2208, 1, 122, 1235, 850]",5082.764280557632,0.014999884853846162,True,20243.063095238096,-1.0,-1.0,9.51923076923077,0.0,0.0,0.0,1.5625,0.0,11.2,0.0,16.238095238095237,0.0
4,,static,30,4,5.0,120,80,"[315, 1, 76, 158, 80]","[177, 1, 70, 68, 38]","[2383, 1, 203, 1431, 748]",543.3080818653107,0.012896882312454304,True,20293.043675364886,-1.0,-1.0,18.0,6.480225988700565,0.0,0.0,1.3857142857142857,0.0,27.279411764705884,13.617647058823529,32.473684210526315,5.815789473684211
