alg,wait (all),late (all),P1 wait,P1 late,P2 wait,P2 late,P3 wait,P3 late,P4 wait,P4 late
greedy,33.017435897435895,17.796410256410255,5.142857142857143,5.142857142857143,6.126605504587156,3.906422018348624,43.670284938941656,29.740841248303933,44.018348623853214,16.18195718654434
daily_greedy,32.90871794871795,17.705641025641025,6.0,6.0,6.234862385321101,3.9908256880733943,43.47761194029851,29.582089552238806,43.80275229357798,16.001529051987767
daily,33.53179487179487,18.252307692307692,9.785714285714286,9.785714285714286,9.627522935779817,7.152293577981651,42.869742198100404,28.933514246947084,43.43730886850153,15.646788990825687
weekly,33.037948717948716,17.76205128205128,7.857142857142857,7.857142857142857,7.719266055045871,5.374311926605505,42.419267299864316,28.508819538670284,44.103975535168196,16.186544342507645
online_prediction,32.93435897435897,17.69076923076923,3.2857142857142856,3.2857142857142856,4.045871559633028,1.9944954128440366,44.210312075983715,30.222523744911804,44.93577981651376,16.95718654434251
online_prediction_fluctuate,33.017435897435895,17.788205128205128,1.2142857142857142,1.2142857142857142,3.0275229357798166,1.001834862385321,44.45997286295794,30.485753052917232,45.79510703363914,17.82262996941896
