ins_name,ins_path,solver,simdays,noLinacs,arrivalrate,noSlotsPerDay,planningHorizon,lNoPatients,lNoNewPatients,lNoSections,runtime,mipgap,feasibility,objval,avg_occupancy,std_occupancy,avgwait,avglate,avgwaitP1,avglateP1,avgwaitP2,avglateP2,avgwaitP3,avglateP3,avgwaitP4,avglateP4
0,,daily,150,4,6.0,120,80,"[362, 2, 85, 174, 101]","[187, 2, 78, 61, 46]","[2432, 11, 242, 1344, 835]",5.562099933624268,1.0,True,2885.920627958404,51.266666666666666,45.31572957839498,36.45454545454545,24.44385026737968,24.0,24.0,26.025641025641026,23.602564102564102,42.36065573770492,28.983606557377048,46.84782608695652,19.869565217391305
0,,daily_greedy,150,4,6.0,120,80,"[362, 2, 85, 174, 101]","[187, 2, 78, 61, 46]","[2432, 11, 242, 1344, 835]",0.8278374671936035,1.0,True,2875.539219986476,51.266666666666666,45.0015593865615,36.588235294117645,24.59893048128342,23.0,23.0,26.0,23.474358974358974,43.09836065573771,29.83606557377049,46.5,19.630434782608695
0,,greedy,150,4,6.0,120,80,"[362, 2, 85, 174, 101]","[187, 2, 78, 61, 46]","[2432, 11, 242, 1344, 835]",0.9214341640472412,1.0,True,2844.034340332986,51.26666666666667,44.89054667249615,35.529411764705884,23.518716577540108,23.0,23.0,23.025641025641026,20.564102564102566,43.377049180327866,29.9672131147541,46.869565217391305,20.0
0,,online_prediction,150,4,6.0,120,80,"[362, 2, 85, 174, 101]","[187, 2, 78, 61, 46]","[2432, 11, 242, 1344, 835]",2.607895612716675,1.0,True,2439.6868249355775,51.266666666666666,43.758779013367594,27.0,14.962566844919786,5.5,5.5,4.256410256410256,2.3205128205128207,44.80327868852459,30.80327868852459,42.891304347826086,15.804347826086957
0,,weekly,150,4,6.0,120,80,"[362, 2, 85, 174, 101]","[187, 2, 78, 61, 46]","[2432, 11, 242, 1344, 835]",5.481983661651611,1.0,True,2850.085101522379,51.266666666666666,45.07196868466154,36.144385026737964,23.97860962566845,21.0,21.0,25.96153846153846,23.487179487179485,41.52459016393443,28.262295081967213,46.93478260869565,19.26086956521739
5,,daily,150,4,6.0,120,80,"[342, 2, 79, 164, 97]","[182, 2, 73, 62, 45]","[2453, 11, 219, 1369, 854]",5.499159336090088,1.0,True,2845.191255462267,48.86527777777778,45.13788377086068,33.714285714285715,21.71978021978022,24.0,24.0,23.616438356164384,21.123287671232877,40.645161290322584,27.080645161290324,40.977777777777774,15.2
5,,daily_greedy,150,4,6.0,120,80,"[342, 2, 79, 164, 97]","[182, 2, 73, 62, 45]","[2453, 11, 219, 1369, 854]",0.7721436023712158,1.0,True,2772.1551725831,48.86527777777778,44.79592703683568,32.489010989010985,20.335164835164836,21.5,21.5,19.19178082191781,16.89041095890411,41.70967741935484,28.048387096774192,41.84444444444444,15.244444444444444
5,,greedy,150,4,6.0,120,80,"[342, 2, 79, 164, 97]","[182, 2, 73, 62, 45]","[2453, 11, 219, 1369, 854]",0.7505841255187988,1.0,True,2775.567471890804,48.86527777777778,44.80715841057371,32.379120879120876,20.296703296703296,22.0,22.0,19.013698630136986,16.753424657534246,41.79032258064516,28.06451612903226,41.55555555555556,15.266666666666667
5,,online_prediction,150,4,6.0,120,80,"[342, 2, 79, 164, 97]","[182, 2, 73, 62, 45]","[2453, 11, 219, 1369, 854]",2.4683563709259033,1.0,True,2423.1480630431583,48.86527777777778,43.30485533697316,26.25824175824176,14.010989010989011,5.0,5.0,3.9178082191780823,1.8904109589041096,41.306451612903224,27.306451612903224,42.71111111111111,15.755555555555556
5,,weekly,150,4,6.0,120,80,"[342, 2, 79, 164, 97]","[182, 2, 73, 62, 45]","[2453, 11, 219, 1369, 854]",5.678234815597534,1.0,True,2793.1789905238866,48.86527777777778,45.18343231696058,32.543956043956044,20.32967032967033,20.5,20.5,22.876712328767123,20.506849315068493,37.354838709677416,24.161290322580644,42.13333333333333,14.755555555555556
