ins_name,ins_path,solver,simdays,noLinacs,arrivalrate,noSlotsPerDay,planningHorizon,lNoPatients,lNoNewPatients,lNoSections,runtime,mipgap,feasibility,objval,avg_occupancy,std_occupancy,avgwait,avglate,avgwaitP1,avglateP1,avgwaitP2,avglateP2,avgwaitP3,avglateP3,avgwaitP4,avglateP4
0,,daily,150,4,6.0,120,80,"[362, 2, 85, 174, 101]","[187, 2, 78, 61, 46]","[2432, 11, 242, 1344, 835]",5.482673645019531,1.0,True,2971.684083557213,51.266666666666666,45.50250883396634,38.94652406417112,27.02139037433155,24.5,24.5,33.743589743589745,31.294871794871796,40.885245901639344,27.524590163934427,45.82608695652174,19.217391304347824
0,,daily_greedy,150,4,6.0,120,80,"[362, 2, 85, 174, 101]","[187, 2, 78, 61, 46]","[2432, 11, 242, 1344, 835]",0.8070952892303467,1.0,True,2984.285039384469,51.26666666666666,45.50930613011413,38.8716577540107,26.898395721925134,26.0,26.0,33.37179487179487,30.871794871794872,41.032786885245905,27.901639344262296,45.891304347826086,18.869565217391305
0,,greedy,150,4,6.0,120,80,"[362, 2, 85, 174, 101]","[187, 2, 78, 61, 46]","[2432, 11, 242, 1344, 835]",0.791898250579834,1.0,True,2970.4608896686586,51.26666666666667,45.494705634180555,38.27807486631016,26.310160427807485,26.0,26.0,32.166666666666664,29.705128205128204,40.83606557377049,27.557377049180328,45.78260869565217,18.91304347826087
0,,online_prediction,150,4,6.0,120,80,"[362, 2, 85, 174, 101]","[187, 2, 78, 61, 46]","[2432, 11, 242, 1344, 835]",3.854299783706665,1.0,True,2450.1867152804434,51.266666666666666,45.56116488162227,26.390374331550802,14.37433155080214,5.5,5.5,6.089743589743589,4.141025641025641,42.63934426229508,28.639344262295083,40.17391304347826,13.195652173913043
0,,weekly,150,4,6.0,120,80,"[362, 2, 85, 174, 101]","[187, 2, 78, 61, 46]","[2432, 11, 242, 1344, 835]",5.139471530914307,1.0,True,2916.752033188954,51.266666666666666,45.53225301711759,37.588235294117645,25.545454545454547,22.5,22.5,30.897435897435898,28.423076923076923,40.721311475409834,27.524590163934427,45.43478260869565,18.17391304347826
5,,daily,150,4,6.0,120,80,"[342, 2, 79, 164, 97]","[182, 2, 73, 62, 45]","[2453, 11, 219, 1369, 854]",5.442497730255127,1.0,True,2922.9892718613446,48.86527777777778,45.466553492616015,36.18131868131868,24.24175824175824,24.0,24.0,30.972602739726028,28.465753424657535,39.83870967741935,26.403225806451612,40.13333333333333,14.422222222222222
5,,daily_greedy,150,4,6.0,120,80,"[342, 2, 79, 164, 97]","[182, 2, 73, 62, 45]","[2453, 11, 219, 1369, 854]",0.7496786117553711,1.0,True,2873.144675209898,48.865277777777784,45.54576793992669,35.065934065934066,22.98901098901099,22.5,22.5,27.904109589041095,25.561643835616437,39.83870967741935,26.403225806451612,40.666666666666664,14.133333333333333
5,,greedy,150,4,6.0,120,80,"[342, 2, 79, 164, 97]","[182, 2, 73, 62, 45]","[2453, 11, 219, 1369, 854]",0.7337827682495117,1.0,True,2877.3246624441495,48.86527777777778,45.546619232759205,35.20879120879121,23.126373626373628,22.5,22.5,28.28767123287671,25.986301369863014,39.74193548387097,26.241935483870968,40.75555555555555,14.222222222222221
5,,online_prediction,150,4,6.0,120,80,"[342, 2, 79, 164, 97]","[182, 2, 73, 62, 45]","[2453, 11, 219, 1369, 854]",2.563372850418091,1.0,True,2539.542858545687,48.86527777777778,45.56696928917499,25.054945054945055,12.824175824175825,15.0,15.0,5.767123287671233,3.73972602739726,37.854838709677416,23.85483870967742,39.15555555555556,12.266666666666667
5,,weekly,150,4,6.0,120,80,"[342, 2, 79, 164, 97]","[182, 2, 73, 62, 45]","[2453, 11, 219, 1369, 854]",5.506952524185181,1.0,True,2981.106196297933,48.86527777777778,45.50861319998449,35.06043956043956,22.917582417582416,31.0,31.0,29.602739726027398,27.17808219178082,36.61290322580645,23.532258064516128,41.955555555555556,14.8
10,,daily,150,4,6.0,120,80,"[329, 2, 79, 161, 87]","[182, 2, 71, 69, 40]","[2507, 11, 212, 1503, 781]",5.5284199714660645,1.0,True,2961.6600275566443,46.4875,45.302283522589796,33.04945054945055,21.197802197802197,29.5,29.5,30.929577464788732,28.295774647887324,33.68115942028985,20.36231884057971,35.9,9.625
10,,daily_greedy,150,4,6.0,120,80,"[329, 2, 79, 161, 87]","[182, 2, 71, 69, 40]","[2507, 11, 212, 1503, 781]",0.6994335651397705,1.0,True,2974.0238313941622,46.487500000000004,45.35307110910768,32.82967032967033,21.071428571428573,31.0,31.0,30.591549295774648,27.887323943661972,33.492753623188406,20.47826086956522,35.75,9.5
10,,greedy,150,4,6.0,120,80,"[329, 2, 79, 161, 87]","[182, 2, 71, 69, 40]","[2507, 11, 212, 1503, 781]",0.6882429122924805,1.0,True,2869.1606909573384,46.487500000000004,45.31680554257253,31.82967032967033,19.945054945054945,24.0,24.0,28.056338028169016,25.380281690140844,33.65217391304348,20.28985507246377,35.775,9.5
10,,online_prediction,150,4,6.0,120,80,"[329, 2, 79, 161, 87]","[182, 2, 71, 69, 40]","[2507, 11, 212, 1503, 781]",4.833777189254761,1.0,True,2602.678296591141,46.487500000000004,45.20538924105382,23.494505494505493,11.296703296703297,21.0,21.0,6.971830985915493,4.492957746478873,33.43478260869565,19.507246376811594,35.8,8.725
10,,weekly,150,4,6.0,120,80,"[329, 2, 79, 161, 87]","[182, 2, 71, 69, 40]","[2507, 11, 212, 1503, 781]",5.579334735870361,1.0,True,2939.2656205348026,46.4875,45.49961862630157,31.895604395604394,19.813186813186814,29.5,29.5,29.070422535211268,26.3943661971831,31.55072463768116,18.391304347826086,37.625,10.1
15,,daily,150,4,6.0,120,80,"[305, 2, 71, 153, 79]","[153, 2, 65, 57, 29]","[2046, 11, 202, 1282, 551]",4.65427565574646,1.0,True,2879.6588952487314,43.830555555555556,45.20917041382393,29.41830065359477,18.477124183006534,28.0,28.0,25.876923076923077,23.307692307692307,31.964912280701753,18.789473684210527,32.44827586206897,6.379310344827586
15,,daily_greedy,150,4,6.0,120,80,"[305, 2, 71, 153, 79]","[153, 2, 65, 57, 29]","[2046, 11, 202, 1282, 551]",0.564692497253418,1.0,True,2863.414649355484,43.83055555555556,45.0441706228316,30.529411764705884,19.601307189542485,24.0,24.0,28.323076923076922,25.676923076923078,32.1578947368421,19.24561403508772,32.724137931034484,6.379310344827586
15,,greedy,150,4,6.0,120,80,"[305, 2, 71, 153, 79]","[153, 2, 65, 57, 29]","[2046, 11, 202, 1282, 551]",0.5545670986175537,1.0,True,2837.6728326120337,43.83055555555556,45.217170069961284,29.483660130718953,18.470588235294116,24.5,24.5,25.4,22.846153846153847,32.59649122807018,19.350877192982455,32.86206896551724,6.517241379310345
15,,online_prediction,150,4,6.0,120,80,"[305, 2, 71, 153, 79]","[153, 2, 65, 57, 29]","[2046, 11, 202, 1282, 551]",2.7665421962738037,1.0,True,2535.497310251757,43.830555555555556,44.80129603642298,20.901960784313726,9.88888888888889,16.5,16.5,5.969230769230769,4.184615384615385,31.49122807017544,17.49122807017544,33.86206896551724,7.275862068965517
15,,weekly,150,4,6.0,120,80,"[305, 2, 71, 153, 79]","[153, 2, 65, 57, 29]","[2046, 11, 202, 1282, 551]",4.1351540088653564,1.0,True,2857.502135976546,43.830555555555556,45.043913672666335,29.15032679738562,18.209150326797385,27.0,27.0,24.70769230769231,22.138461538461538,32.40350877192982,19.228070175438596,32.86206896551724,6.793103448275862
20,,daily,150,4,6.0,120,80,"[354, 2, 88, 164, 100]","[204, 2, 83, 69, 50]","[2720, 11, 256, 1518, 935]",5.95011830329895,1.0,True,2899.535955997905,49.79166666666666,45.79597593716108,36.0,24.019607843137255,21.5,21.5,31.55421686746988,29.012048192771083,38.53623188405797,24.985507246376812,40.46,14.5
20,,daily_greedy,150,4,6.0,120,80,"[354, 2, 88, 164, 100]","[204, 2, 83, 69, 50]","[2720, 11, 256, 1518, 935]",0.8231217861175537,1.0,True,2896.3326872708226,49.791666666666664,45.78504400598114,35.995098039215684,23.88235294117647,21.5,21.5,31.216867469879517,28.698795180722893,38.47826086956522,25.08695652173913,41.08,14.32
