ins_name,ins_path,solver,simdays,noLinacs,arrivalrate,noSlotsPerDay,planningHorizon,lNoPatients,lNoNewPatients,lNoSections,runtime,mipgap,feasibility,objval,avg_occupancy,std_occupancy,avgwait,avglate,avgwaitP1,avglateP1,avgwaitP2,avglateP2,avgwaitP3,avglateP3,avgwaitP4,avglateP4
0,,daily,150,4,6.0,120,80,"[362, 2, 85, 174, 101]","[187, 2, 78, 61, 46]","[2432, 11, 242, 1344, 835]",5.422791004180908,1.0,True,2781.556837911435,51.266666666666666,44.3158938652271,35.32620320855615,23.331550802139038,19.0,19.0,20.884615384615383,18.41025641025641,44.80327868852459,31.475409836065573,47.95652173913044,21.065217391304348
0,,daily_greedy,150,4,6.0,120,80,"[362, 2, 85, 174, 101]","[187, 2, 78, 61, 46]","[2432, 11, 242, 1344, 835]",0.8473842144012451,1.0,True,2777.1788201107515,51.266666666666666,44.29687645747597,34.898395721925134,22.86096256684492,20.0,20.0,19.371794871794872,16.897435897435898,45.01639344262295,31.65573770491803,48.45652173913044,21.434782608695652
0,,greedy,150,4,6.0,120,80,"[362, 2, 85, 174, 101]","[187, 2, 78, 61, 46]","[2432, 11, 242, 1344, 835]",0.8292865753173828,1.0,True,2750.388910210721,51.266666666666666,44.19386295797356,34.224598930481285,22.149732620320854,19.5,19.5,17.346153846153847,14.897435897435898,45.50819672131148,32.0,48.52173913043478,21.5
0,,online_prediction,150,4,6.0,120,80,"[362, 2, 85, 174, 101]","[187, 2, 78, 61, 46]","[2432, 11, 242, 1344, 835]",2.667598247528076,1.0,True,2443.6135478918804,51.266666666666666,42.89838148764192,27.77540106951872,15.759358288770054,5.5,5.5,4.012820512820513,2.0641025641025643,45.75409836065574,31.75409836065574,45.19565217391305,18.217391304347824
0,,weekly,150,4,6.0,120,80,"[362, 2, 85, 174, 101]","[187, 2, 78, 61, 46]","[2432, 11, 242, 1344, 835]",5.505055904388428,1.0,True,2790.056664290805,51.26666666666666,44.51997392972848,34.81283422459893,22.636363636363637,20.0,20.0,21.08974358974359,18.602564102564102,43.42622950819672,30.0,47.30434782608695,19.82608695652174
5,,daily,150,4,6.0,120,80,"[342, 2, 79, 164, 97]","[182, 2, 73, 62, 45]","[2453, 11, 219, 1369, 854]",5.4025514125823975,1.0,True,2705.2304806795305,48.86527777777778,44.101173510638375,31.895604395604394,19.9010989010989,17.5,17.5,16.794520547945204,14.36986301369863,42.53225806451613,28.838709677419356,42.37777777777778,16.666666666666668
5,,daily_greedy,150,4,6.0,120,80,"[342, 2, 79, 164, 97]","[182, 2, 73, 62, 45]","[2453, 11, 219, 1369, 854]",0.7702605724334717,1.0,True,2659.815053763441,48.86527777777778,43.80217481934339,31.95054945054945,19.785714285714285,15.0,15.0,14.657534246575343,12.424657534246576,44.16129032258065,30.387096774193548,43.93333333333333,17.333333333333332
5,,greedy,150,4,6.0,120,80,"[342, 2, 79, 164, 97]","[182, 2, 73, 62, 45]","[2453, 11, 219, 1369, 854]",0.7579042911529541,1.0,True,2665.9425443118766,48.86527777777778,43.802908065737284,31.785714285714285,19.65934065934066,15.5,15.5,14.876712328767123,12.58904109589041,44.03225806451613,30.20967741935484,43.06666666666667,16.77777777777778
5,,online_prediction,150,4,6.0,120,80,"[342, 2, 79, 164, 97]","[182, 2, 73, 62, 45]","[2453, 11, 219, 1369, 854]",2.499629020690918,1.0,True,2426.0466146216922,48.86527777777778,42.20305808228728,27.03846153846154,14.82967032967033,5.0,5.0,3.6164383561643834,1.5890410958904109,42.935483870967744,28.93548387096774,44.111111111111114,17.31111111111111
5,,weekly,150,4,6.0,120,80,"[342, 2, 79, 164, 97]","[182, 2, 73, 62, 45]","[2453, 11, 219, 1369, 854]",5.855196475982666,1.0,True,2758.23722688663,48.86527777777778,44.16874691554545,31.923076923076923,19.747252747252748,21.0,21.0,18.45205479452055,16.095890410958905,39.016129032258064,25.693548387096776,44.48888888888889,17.42222222222222
10,,daily,150,4,6.0,120,80,"[329, 2, 79, 161, 87]","[182, 2, 71, 69, 40]","[2507, 11, 212, 1503, 781]",5.590004205703735,1.0,True,2646.057328026128,46.4875,44.09124869864263,28.39010989010989,16.439560439560438,15.0,15.0,15.985915492957746,13.338028169014084,36.08695652173913,22.6231884057971,37.8,11.35
10,,daily_greedy,150,4,6.0,120,80,"[329, 2, 79, 161, 87]","[182, 2, 71, 69, 40]","[2507, 11, 212, 1503, 781]",0.7176830768585205,1.0,True,2635.892523984487,46.4875,43.875903691759085,28.478021978021978,16.54945054945055,14.5,14.5,15.338028169014084,12.690140845070422,36.56521739130435,23.231884057971016,38.55,11.975
